sitios,fecha,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
Canal Villanueva y Río Luján,2023-02-22,Verano,26.0,24.0,6.59,7.24,Ausencia,Ausencia,Ausencia,Presencia,600.0,100.0,130.0,3.9,0.05,0.26,0.1,2.0,30.0,29.0,0.1,0.005,0.001,0.87,0.15,53.0,Muy deteriorada 
Canal Villanueva y Río Luján,2023-05-10,otoño,18.0,12.0,7.09,7.22,Ausencia,Ausencia,Ausencia,Ausencia,3200.0,2200.0,770.0,3.9,0.3,0.16,0.15,2.0,30.0,45.0,0.1,0.005,1.0,2.56,0.15,39.0,Extremadamente deteriorada
Canal Villanueva y Río Luján,2023-08-23,invierno,16.3,11.0,8.53,7.27,Ausencia,Ausencia,Ausencia,Presencia,240.0,200.0,300.0,4.2,0.19,0.57,0.2,2.0,30.0,38.0,0.1,0.005,0.001,1.02,0.15,48.0,Muy deteriorada
Canal Villanueva y Río Luján,2023-11-14,primavera,23.0,25.0,4.72,6.57,Ausencia,Ausencia,Ausencia,Ausencia,200.0,180.0,290.0,3.3,0.13,0.12,0.2,2.0,30.0,24.0,0.1,0.005,0.001,10.0,0.15,42.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-02-22,Verano,26.8,25.0,5.94,6.96,Ausencia,Ausencia,Ausencia,Presencia,1000.0,400.0,1.5,5.2,0.25,0.16,0.11,2.1,30.0,24.0,0.1,0.005,0.001,10.61,0.21,39.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-05-10,otoño,18.0,12.0,7.12,7.22,Ausencia,Ausencia,Ausencia,Presencia,300.0,1100.0,300.0,6.7,0.13,0.11,0.1,2.0,30.0,60.0,0.1,0.005,1.0,0.67,0.15,38.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-08-23,invierno,15.0,11.0,6.88,7.13,Ausencia,Ausencia,Presencia,Presencia,15000.0,8300.0,5000.0,6.3,0.72,0.21,0.2,2.0,38.0,37.0,0.1,0.005,0.001,1.81,0.16,34.0,Extremadamente deteriorada
Río Lujan y Arroyo Caraguatá,2023-11-14,primavera,22.0,25.0,2.62,6.49,Ausencia,Ausencia,Ausencia,Presencia,2000.0,400.0,800.0,2.0,0.25,0.14,0.2,2.0,43.0,11.0,0.1,0.005,0.001,10.0,0.15,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-02-22,Verano,27.6,24.0,6.14,6.88,Ausencia,Ausencia,Ausencia,Presencia,2000.0,1000.0,100.0,3.5,2.2,0.41,0.36,4.1,30.0,21.0,0.1,0.005,0.001,16.87,2.98,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-05-10,otoño,18.0,12.0,6.16,7.33,Ausencia,Ausencia,Ausencia,Ausencia,5.0,3.0,200.0,4.2,0.86,0.21,0.2,2.0,30.0,45.0,0.1,0.005,1.0,0.1,0.15,37.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-08-23,invierno,15.2,11.0,5.97,7.13,Ausencia,Ausencia,Ausencia,Presencia,23000.0,19000.0,3000.0,15.2,2.9,2.0,0.46,3.8,36.0,45.0,0.1,6.0,0.001,7.51,0.15,35.0,Extremadamente deteriorada
Canal Aliviador y Río Lujan,2023-11-14,primavera,26.0,25.0,4.31,6.71,Ausencia,Ausencia,Ausencia,Ausencia,4000.0,600.0,400.0,2.7,2.0,0.26,0.2,3.0,30.0,13.0,0.1,0.005,0.001,10.7,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-02-22,Verano,26.1,25.0,5.02,6.82,Ausencia,Ausencia,Ausencia,Presencia,6000.0,500.0,220.0,3.9,0.56,0.23,0.17,2.2,30.0,28.0,0.1,0.005,0.001,10.89,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-05-10,otoño,18.0,12.0,6.08,7.32,Ausencia,Ausencia,Presencia,Ausencia,4000.0,2.9,640.0,4.8,0.99,0.18,0.17,2.0,30.0,50.0,0.1,0.005,1.0,0.1,0.15,35.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-08-23,invierno,15.1,11.0,5.75,7.19,Presencia,Ausencia,Ausencia,Ausencia,11000.0,5200.0,1400.0,15.7,3.5,0.36,0.34,4.3,37.0,39.0,0.1,0.005,0.001,5.99,0.15,37.0,Extremadamente deteriorada
Río Carapachay y Arroyo Gallo Fiambre,2023-11-14,primavera,21.0,25.0,2.98,6.49,Ausencia,Ausencia,Ausencia,Presencia,1000.0,400.0,900.0,2.0,1.0,0.14,0.2,2.0,40.0,24.0,0.1,0.005,0.001,10.0,0.15,33.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-02-22,Verano,25.9,24.0,5.28,6.69,Ausencia,Presencia,Ausencia,Presencia,15000.0,3200.0,560.0,4.3,1.5,0.44,0.25,3.3,30.0,24.0,0.1,0.005,0.001,8.57,0.15,34.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-05-10,otoño,18.0,12.0,5.85,7.06,Ausencia,Ausencia,Ausencia,Ausencia,2.0,1.5,250.0,5.3,0.49,0.19,0.18,2.0,30.0,45.0,0.1,0.005,1.0,0.35,0.15,40.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-08-23,invierno,15.3,11.0,5.36,7.13,Presencia,Presencia,Presencia,Presencia,4000.0,3600.0,1500.0,18.6,4.0,1.3,0.53,4.3,40.0,29.0,0.1,0.005,0.001,4.54,0.15,30.0,Extremadamente deteriorada
Río Reconquista y Río Lujan,2023-11-14,primavera,23.0,25.0,2.01,6.67,Ausencia,Ausencia,Ausencia,Presencia,19000.0,18000.0,5700.0,2.3,2.6,0.44,0.2,4.7,30.0,8.7,0.1,0.005,0.001,10.0,0.15,33.0,Extremadamente deteriorada
Rio Tigre 100m antes del Rio Luján,2023-02-22,Verano,25.2,24.0,5.02,6.4,Ausencia,Presencia,Ausencia,Presencia,2000.0,1100.0,100.0,7.3,3.8,0.5,0.4,4.3,30.0,20.0,0.1,0.005,0.001,18.37,0.15,31.0,Extremadamente deteriorada
